19102,center_city
19103,center_city
19106,center_city
19107,center_city
19109,center_city
19146,center_city
19147,center_city
19145,south_philly
19148,south_philly
19142,southwest_philly
19143,southwest_philly
19153,southwest_philly
19104,west_philly
19131,west_philly
19139,west_philly
19151,west_philly
19121,lower_north_philly
19122,lower_north_philly
19130,lower_north_philly
19132,lower_north_philly
19133,lower_north_philly
19140,lower_north_philly
19128,roxborough_manayunk
19127,roxborough_manayunk
19129,roxborough_manayunk
19118,upper_northwest
19119,upper_northwest
19144,upper_northwest
19120,olney_oak_lane
19126,olney_oak_lane
19138,olney_oak_lane
19141,olney_oak_lane
19150,olney_oak_lane
19111,near_northeast_philly
19124,near_northeast_philly
19135,near_northeast_philly
19149,near_northeast_philly
19114,far_northeast_philly
19115,far_northeast_philly
19116,far_northeast_philly
19136,far_northeast_philly
19152,far_northeast_philly
19154,far_northeast_philly
19137,kensington_fishtown
19125,kensington_fishtown
19123,kensington_fishtown
19134,kensington_fishtown